FIPS,HomePriceGrowth19to20,HomePriceGrowth18to19,HomePriceGrowth17to18,HomePriceGrowth17to19,HomePrices2019,Population,TotalCasesPercent,TotalDeathsPercentPopulation,MaskUse,ClintonVoteShare,StateLocalTax,JanAvgTemperature,RuralUrbanCode
5019,0.024,0.057,0.073,0.133,0.092,0.022,0.086,0.002,0.749,0.425,0.113,46,7
5021,0.020,0.103,0.064,0.173,0.056,0.015,0.113,0.003,0.637,0.231,0.113,41.5,7
5023,0.028,0.028,0.037,0.066,0.148,0.025,0.073,0.003,0.805,0.174,0.113,42.1,6
5025,0.033,0.087,0.017,0.105,0.093,0.008,0.112,0.003,0.703,0.216,0.113,46.4,3
5027,0.036,0.029,0.044,0.075,0.09,0.023,0.086,0.002,0.633,0.353,0.113,47.4,7
5029,-0.012,0.044,0.075,0.122,0.095,0.021,0.099,0.001,0.672,0.335,0.113,42.3,6
5031,0.058,0.042,0.032,0.075,0.143,0.11,0.113,0.002,0.661,0.296,0.113,42.6,3
5033,0.022,0.037,0.043,0.081,0.123,0.063,0.103,0.002,0.578,0.200,0.113,42,2
5035,0.030,0.040,0.022,0.063,0.104,0.048,0.115,0.002,0.814,0.527,0.113,45.3,1
5037,0.019,0.025,0.044,0.070,0.088,0.016,0.113,0.003,0.723,0.291,0.113,44.1,6
5039,0.054,0.037,0.004,0.042,0.041,0.007,0.099,0.002,0.655,0.420,0.113,45.8,6
5041,0.025,0.054,0.058,0.115,0.05,0.011,0.112,0.002,0.698,0.523,0.113,47.2,6
5043,0.034,0.041,0.060,0.103,0.098,0.018,0.105,0.002,0.682,0.359,0.113,47.9,6
5045,0.065,0.035,0.041,0.077,0.165,0.126,0.089,0.001,0.829,0.308,0.113,42.6,2
5047,0.040,0.060,-0.049,0.008,0.094,0.018,0.087,0.002,0.527,0.203,0.113,41.9,6
5049,0.042,0.091,0.006,0.098,0.108,0.012,0.084,0.003,0.548,0.224,0.113,39.9,9
5051,0.115,0.045,0.050,0.097,0.148,0.099,0.091,0.002,0.806,0.302,0.113,44.4,3
