FIPS,HomePriceGrowth19to20,TotalDeathsPercentPopulation,UrbanDummy,TotalDeathsPercentPopulation X UrbanDummy,HomePriceGrowth18to19,ClintonVoteShare,JanAvgTemperature
05099,0.099,0.003,0,0.000,0.035,0.356,46.9 
05101,0.015,0.003,0,0.000,0.033,0.186,39.5 
05103,0.023,0.002,0,0.000,0.063,0.435,46.8 
05105,0.034,0.001,1,0.001,0.066,0.244,43.6 
05107,-0.004,0.002,0,0.000,-0.002,0.620,46.6 
05109,0.039,0.002,1,0.002,0.037,0.172,44.8 
05111,0.042,0.003,0,0.000,0.076,0.243,43.3 
05113,0.022,0.003,0,0.000,0.043,0.147,43.8 
05115,0.007,0.001,0,0.000,0.058,0.222,41.6 
05117,0.093,0.003,0,0.000,0.068,0.236,45.0 
05119,0.041,0.001,1,0.001,0.009,0.561,43.9 
05121,0.031,0.003,0,0.000,0.049,0.223,40.7 
05123,0.008,0.001,0,0.000,0.048,0.543,45.1 
05125,0.079,0.001,1,0.001,0.023,0.254,44.1 
05127,0.048,0.001,0,0.000,0.060,0.172,43.6 
05129,0.033,0.002,0,0.000,0.091,0.161,40.2 
05131,0.053,0.002,1,0.002,0.041,0.276,43.9 
05133,0.059,0.001,0,0.000,0.043,0.236,46.6 
05135,0.054,0.003,0,0.000,0.050,0.203,40.3 
05137,0.027,0.002,0,0.000,0.027,0.214,40.8 
05139,0.040,0.002,0,0.000,0.043,0.347,48.3 
05141,0.009,0.001,0,0.000,0.034,0.211,41.0 
05143,0.070,0.001,1,0.001,0.046,0.408,40.3 
05145,0.044,0.001,0,0.000,-0.022,0.190,43.6 
05147,-0.026,0.001,0,0.000,0.051,0.435,43.9 
05149,0.037,0.003,0,0.000,0.050,0.230,43.5 
06001,0.093,0.001,1,0.001,-0.019,0.787,48.7 
06003,-0.012,0.000,0,0.000,-0.003,0.555,33.7 
06005,0.006,0.001,1,0.001,0.015,0.339,44.7 
06007,0.024,0.001,0,0.000,0.136,0.435,45.9 
06009,0.104,0.001,0,0.000,0.032,0.343,45.1 
06011,0.027,0.001,0,0.000,0.027,0.401,46.8 
06013,0.079,0.000,1,0.000,-0.007,0.685,48.7 
06015,-0.010,0.000,0,0.000,0.039,0.365,40.9 
06017,0.147,0.000,1,0.000,-0.001,0.389,41.8 
06019,0.105,0.001,1,0.001,0.035,0.501,41.8 
06021,0.040,0.001,0,0.000,0.030,0.324,46.2 
06023,0.071,0.000,0,0.000,0.008,0.560,44.2 
06025,0.121,0.003,0,0.000,0.012,0.679,58.0 
06027,0.024,0.002,0,0.000,0.002,0.390,44.6 
06029,0.111,0.001,1,0.001,0.046,0.404,46.3 
06031,0.118,0.001,0,0.000,0.036,0.402,47.5 
06033,0.068,0.001,0,0.000,0.015,0.469,44.6 
06035,0.043,0.001,0,0.000,0.009,0.211,34.1 
06037,0.099,0.002,1,0.002,0.015,0.718,51.5 
06039,0.086,0.001,0,0.000,0.039,0.395,42.7 
06041,0.103,0.001,1,0.001,-0.014,0.781,49.9 
06043,0.025,0.000,0,0.000,0.011,0.352,42.3 
06045,0.136,0.000,0,0.000,-0.049,0.589,45.5 
06047,0.116,0.001,1,0.001,0.016,0.527,48.6 
06049,0.014,0.000,0,0.000,-0.002,0.232,33.3 
06051,0.030,0.000,0,0.000,0.017,0.526,32.4 
06053,0.096,0.001,1,0.001,0.015,0.668,48.8 
06055,0.093,0.000,0,0.000,-0.016,0.639,48.1 
06057,0.151,0.001,0,0.000,-0.009,0.474,39.4 
06059,0.081,0.001,1,0.001,0.010,0.509,57.2 
06061,0.088,0.001,1,0.001,0.033,0.402,40.9 
06063,0.030,0.000,0,0.000,0.007,0.357,35.2 
06065,0.098,0.001,1,0.001,0.033,0.497,53.9 
06067,0.113,0.001,1,0.001,0.042,0.583,48.9 
06069,0.078,0.001,1,0.001,-0.015,0.571,46.7 
06071,0.110,0.001,1,0.001,0.032,0.521,50.2 
06073,0.125,0.001,1,0.001,0.021,0.563,53.4 
06075,-0.026,0.000,1,0.000,0.020,0.850,51.2 
06077,0.114,0.001,1,0.001,0.019,0.540,49.7 
06079,0.071,0.001,1,0.001,0.015,0.497,49.0 
06081,0.040,0.001,1,0.001,-0.023,0.757,50.5 
06083,0.087,0.001,1,0.001,0.017,0.606,50.6 
06085,0.152,0.001,1,0.001,-0.063,0.727,47.4 
06087,0.105,0.001,1,0.001,-0.011,0.739,50.4 
06089,0.093,0.001,0,0.000,0.046,0.279,40.6 
